system:index,built,city,elev,lat,lon,lst,lst_anom,pop,road_dens,slope,tree,water,.geo
0,0.3127251592154304,Nanjing,87,32.081084584118415,118.57537171556655,37.59583343000003,-4.716432278297624,1.6832224,0.0,1.3261673,0.2805695431306958,0.0352813664978991,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.3094739965017652,Nanjing,54,32.081084584118415,118.59782959766953,39.28262630000006,-3.029639408297591,4.627142,0.0,1.8155633,0.24049523928260896,0.051900165490224026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.5586306734010578,Nanjing,45,32.081084584118415,118.60232117409014,42.635703920000026,0.3234382117023742,26.826508,0.0,1.3372039,0.109203906590119,0.04020378938876092,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.49659369862638414,Nanjing,36,32.081084584118415,118.60681275051073,43.83542894000004,1.5231632317023909,32.287235,0.0,1.7608548,0.11829580812094112,0.05300450838791827,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.6864126851626983,Nanjing,35,32.081084584118415,118.61130432693132,43.391086340000044,1.078820631702392,32.685314,0.0,1.4308815,0.043788429147874314,0.04189885047574838,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.45756543925963344,Nanjing,17,32.08557616053901,118.4855401871546,40.67034242,-1.6419232882976544,7.780835,0.0,0.6410123,0.07161734496864179,0.04491078394154708,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.595246514525368,Nanjing,33,32.08557616053901,118.50350649283698,40.45500716000004,-1.8572585482976152,12.643832,0.0,2.8010578,0.07552123469455789,0.04715088835089571,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.5814767285176602,Nanjing,46,32.08557616053901,118.51698122209878,41.77778090000004,-0.5344848082976128,7.187874,0.0,2.550336,0.11248679693151069,0.03810808289256927,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.3149421683512628,Nanjing,89,32.08557616053901,118.54842225704296,36.77892665000002,-5.533339058297635,2.294725,0.0,4.2618976,0.14218258333082,0.12022215231942633,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.4499083846312715,Nanjing,15,32.09006773695961,118.49003176357519,40.17131150000003,-2.1409542082976216,3.7475104,0.0,0.32426515,0.11260264477459714,0.05797168059507385,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.5058699184010038,Nanjing,17,32.09006773695961,118.4945233399958,39.82267346000003,-2.489592248297619,3.5213988,0.0,0.50954175,0.08705525398545433,0.04457645346701611,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.3385388485621661,Nanjing,22,32.09006773695961,118.49901491641639,40.619072120000055,-1.6931935882975964,18.998901,0.0,0.59444845,0.126768221736283,0.04280534129151527,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.5466718609067833,Nanjing,25,32.09006773695961,118.50350649283698,42.18452528,-0.1277404282976491,24.785147,0.0,0.8456628,0.07763783066045671,0.049810126335138365,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.33953350263182075,Nanjing,31,32.09006773695961,118.50799806925758,41.75214575000001,-0.5601199582976406,18.27214,0.0,1.0760012,0.12527016759850085,0.0471930171479471,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.3018641523667611,Nanjing,37,32.09006773695961,118.51248964567817,40.319995370000015,-1.9922703382976366,40.715965,0.0,1.8442199,0.12979711213847622,0.05548652739962563,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.6801790688799596,Nanjing,23,32.09455931338021,118.50350649283698,43.934551520000014,1.622285811702362,50.05136,0.0,0.7708719,0.04323278035429355,0.04130424777241914,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.5722424762530459,Nanjing,28,32.09455931338021,118.50799806925758,44.58226631000002,2.270000601702371,57.14511,0.0,0.8076857,0.08036282411517782,0.03980854491237551,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.6382809629369723,Nanjing,29,32.09455931338021,118.51248964567817,44.414783330000006,2.1025176217023542,58.416615,0.0,0.7566426,0.05092024903646425,0.04277068833624454,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.6405738554118822,Nanjing,24,32.0990508898008,118.51248964567817,42.89205542000002,0.579789711702368,14.616713,0.0,0.70601296,0.05879578289265434,0.04383131840990649,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.6223932577379268,Nanjing,29,32.0990508898008,118.51698122209878,43.21676732000003,0.9045016117023792,29.520523,0.0,0.68139493,0.06001097111798385,0.044220265329760665,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.3584317205994226,Nanjing,42,32.0990508898008,118.53045595136057,38.05213910000003,-4.260126608297618,4.187561,0.0,0.5772408,0.15291786093867438,0.05217510102974141,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.388710656715557,Nanjing,12,32.1035424662214,118.4945233399958,38.026503950000034,-4.2857617582976175,5.4245195,0.0,0.26925117,0.11007893161537746,0.03838674418317775,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.39406979602063075,Nanjing,14,32.1035424662214,118.49901491641639,37.19421608000005,-5.118049628297605,4.393608,0.0,0.358735,0.1647596553520998,0.041682980401674286,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.3747422596336239,Nanjing,16,32.1035424662214,118.50350649283698,38.09486435000002,-4.217401358297629,3.6259873,0.0,0.5321836,0.18444048366250676,0.040014095436264246,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.5511085437336827,Nanjing,26,32.1035424662214,118.51248964567817,41.02581650000002,-1.2864492082976327,4.403741,0.0,0.41150025,0.09078514648546629,0.047877886948887914,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.4460473582148552,Nanjing,22,32.1035424662214,118.51698122209878,38.87759093000005,-3.434674778297598,5.4229035,0.0,0.75664324,0.13440081234747434,0.04027055147761369,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.44877148944263656,Nanjing,37,32.1035424662214,118.54393068062237,40.99163630000001,-1.3206294082976413,2.8193467,0.0,1.2732048,0.1795183439894269,0.038984689256176354,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.3923185325693339,Nanjing,42,32.1035424662214,118.54842225704296,40.15251239,-2.1597533182976534,1.6906028,0.0,0.93434036,0.2188580059882952,0.04025491705397144,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.395524106483208,Nanjing,42,32.1035424662214,118.55291383346355,39.64835444000005,-2.6639112682976034,2.2630756,0.0,1.243794,0.1325093291234225,0.040483614371623844,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.43946011452935635,Nanjing,9,32.108034042642,118.49003176357519,39.28604432000003,-3.026221388297621,6.2378254,0.0,0.3205304,0.1401233721214036,0.039751009255026774,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.6807874683872797,Nanjing,10,32.108034042642,118.4945233399958,41.572699700000044,-0.7395660082976079,5.1617546,0.0,0.22130619,0.044401120307156816,0.03416819135600235,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.34915879637992475,Nanjing,11,32.108034042642,118.49901491641639,38.325580700000046,-3.9866850082976057,3.6312737,0.0,0.40387812,0.18797598070523236,0.03653220378328115,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.43796227621736333,Nanjing,19,32.108034042642,118.50799806925758,38.00257781000002,-4.309687898297632,4.5654836,0.0,0.64104074,0.1487098182688522,0.04246823556775994,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.4202997146785492,Nanjing,17,32.108034042642,118.51248964567817,40.48235132000002,-1.829914388297631,3.2427387,0.0,0.7810049,0.15221669818856753,0.04633502435171977,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.3389197909919959,Nanjing,21,32.112525619062595,118.51698122209878,36.679804070000046,-5.632461638297606,2.0229685,0.0,0.68681425,0.2373577220003224,0.03715167448131575,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.3213161380096738,Nanjing,20,32.11701719548319,118.52596437493997,38.199113960000005,-4.113151748297646,1.3372271,0.0,0.6410521,0.21337925241927483,0.0437676479840385,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.3920520643134498,Nanjing,52,32.11701719548319,118.57986329198714,38.78359538000001,-3.5286703282976433,27.740099,1.0,3.1392438,0.2192224295447684,0.045776575027654566,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.6380445080410156,Nanjing,15,32.12150877190379,118.52596437493997,39.61759226000001,-2.6946734482976424,1.1452112,0.0,0.69558406,0.07401178645834859,0.03929992667066732,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.4994645225087879,Nanjing,57,32.12150877190379,118.57986329198714,38.462301500000024,-3.849964208297628,4.384887,0.0,0.7550941,0.09521189446968492,0.044583220122149214,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.3810156852257653,Nanjing,41,32.12600034832439,118.56189698630475,41.391544640000035,-0.9207210682976168,7.7891035,0.0,1.8144845,0.13219696317369548,0.03962785623466166,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.5713765994968036,Nanjing,21,32.12600034832439,118.56638856272535,43.21676732000003,0.9045016117023792,4.2005496,0.0,1.2851111,0.06540731283334586,0.03562002030846018,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.447142515287851,Nanjing,29,32.12600034832439,118.58884644482833,40.90960382000003,-1.4026618882976223,1.6712377,0.0,2.17484,0.10321644120267592,0.041399613313842565,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.38664183240487343,Nanjing,33,32.12600034832439,118.59333802124894,39.836345540000025,-2.475920168297627,1.5316806,0.0,1.3743125,0.11061715836533242,0.055126948489083186,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.46082453075079965,Nanjing,26,32.13049192474499,118.55740540988415,44.19432103999998,1.8820553317023254,3.103266,0.0,1.1212087,0.14851347387481767,0.05343288448281013,"{""type"":""MultiPoint"",""coordinates"":[]}"
