system:index,built,city,elev,lat,lon,lst,lst_anom,pop,road_dens,slope,tree,water,.geo
0,0.49189051983153653,Shanghai,5,31.753199505414788,121.25235126224271,37.12585568,-7.436001377549964,2.3641982,0.0,0.057968166,0.14668572577647865,0.03928858251310885,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.42463644187793964,Shanghai,5,31.753199505414788,121.25684283866332,36.43541564000003,-8.126441417549934,2.3757212,0.0,0.0,0.17354867791032624,0.03718375409435895,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.3175892938777585,Shanghai,5,31.753199505414788,121.2793007207663,36.83532398,-7.726533077549966,9.9332695,0.0,0.08948599,0.2039476755376467,0.0719365040114259,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.3393559920437196,Shanghai,6,31.753199505414788,121.2837922971869,36.796016750000035,-7.765840307549929,7.59691,0.0,0.0,0.20515550523722434,0.0378753295962644,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.3380331914605839,Shanghai,5,31.753199505414788,121.31972490855168,36.11070374000002,-8.451153317549945,1.9083915,0.0,0.057968166,0.12823508445373072,0.06860151642467827,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.41440570874450106,Shanghai,5,31.753199505414788,121.32870806139287,36.04234334,-8.519513717549962,1.4344155,0.0,0.057968166,0.12577804030540088,0.08391039874404668,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.3978614816597352,Shanghai,5,31.753199505414788,121.36913224917825,36.414907519999986,-8.146949537549979,2.7275972,0.0,0.057968166,0.09558066702447832,0.0878493208438158,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.3815103834339728,Shanghai,5,31.753199505414788,121.42752274264602,36.67980407000002,-7.882052987549947,1.4169664,0.0,0.0,0.11853956151753664,0.03906618330317239,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.33589174614385947,Shanghai,5,31.757691081835386,121.20743549803674,36.722529320000035,-7.8393277375499295,1.7665408,0.0,0.057968166,0.09006577909090802,0.12084907368070592,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.318837901396263,Shanghai,4,31.757691081835386,121.38709855486064,36.54308327000001,-8.018773787549954,2.2573192,0.0,0.2726997,0.17057516344357282,0.05920109705119911,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.39837741770928625,Shanghai,5,31.762182658255984,121.20743549803674,36.33971108000003,-8.222145977549935,2.3632553,0.0,0.06817868,0.08227463961137753,0.052160053857062995,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.4709849442159267,Shanghai,6,31.762182658255984,121.21192707445734,38.28798248000001,-6.273874577549954,8.682229,0.0,0.057968166,0.10211353592182461,0.06478208961504463,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.46574422519801084,Shanghai,5,31.762182658255984,121.21641865087794,37.30701074000001,-7.254846317549955,6.9242125,0.0,0.08949098,0.07089977691832341,0.050339134275227,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.37049509409668024,Shanghai,5,31.762182658255984,121.22091022729853,37.32580985000004,-7.236047207549923,4.070019,0.0,0.0,0.0976263906586131,0.04885199733421599,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.36402249480597676,Shanghai,4,31.762182658255984,121.2703175679251,34.95370397000005,-9.608153087549915,3.2229953,0.0,0.057968166,0.10017741839401424,0.0662049652232478,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.3929503316214929,Shanghai,5,31.762182658255984,121.2793007207663,35.85093422,-8.710922837549965,3.9752855,0.0,0.13449726,0.1091276914657404,0.07145814968583485,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.4695084528376659,Shanghai,6,31.762182658255984,121.2837922971869,36.30894890000002,-8.252908157549946,4.1512203,0.0,0.057968166,0.08865699289987485,0.04563623416858415,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.3070593327283859,Shanghai,5,31.762182658255984,121.2882838736075,36.77721764,-7.784639417549961,3.2114573,0.0,0.08949098,0.11082037569334109,0.055085750902071594,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.43363171791036925,Shanghai,5,31.762182658255984,121.2927754500281,35.87827837999998,-8.683578677549981,2.7920997,0.0,0.0,0.0881896316849937,0.05174513794481754,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.3438658763479907,Shanghai,4,31.762182658255984,121.32870806139287,37.87611106999998,-6.685745987549986,2.152927,0.0,0.0,0.1319191463117022,0.059586649207631126,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.3407255974598229,Shanghai,5,31.762182658255984,121.33769121423407,36.06456047000003,-8.497296587549933,1.3352035,0.0,0.14816734,0.21978414853635644,0.04742894803972116,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.39124203100800514,Shanghai,4,31.762182658255984,121.34218279065468,36.233752460000005,-8.32810459754996,1.4169633,0.0,0.0,0.15949248439366265,0.04196146235335618,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.6017407266496632,Shanghai,6,31.76667423467658,121.21192707445734,41.05657868000003,-3.505278377549935,8.273543,0.0,0.08949347,0.07137623385183121,0.04798169392406156,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.5491885108946774,Shanghai,6,31.76667423467658,121.21641865087794,39.1459055,-5.415951557549967,6.1509285,0.0,0.06818196,0.07179722906776558,0.04656657156240391,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.3018454286571154,Shanghai,5,31.76667423467658,121.24785968582212,35.49204212000001,-9.069814937549957,2.0338578,0.0,0.06818196,0.2777278105563977,0.035592185716856926,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.37458407421432,Shanghai,5,31.76667423467658,121.25235126224271,36.108994730000035,-8.45286232754993,2.447023,0.0,0.0,0.16716236215742195,0.048287966425585395,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.39588841898640725,Shanghai,5,31.76667423467658,121.25684283866332,35.96031085999999,-8.601546197549972,2.4375103,0.0,0.0,0.10723984978326104,0.058038371519240385,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.3514201512859602,Shanghai,4,31.76667423467658,121.32870806139287,36.807979820000014,-7.7538772375499505,2.28378,0.0,0.08949347,0.14475097224515462,0.05187974193332983,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.3078550919114302,Shanghai,5,31.76667423467658,121.37811540201945,36.98229884,-7.579558217549966,1.8539802,0.0,0.08949347,0.08047958381163577,0.07849938841536641,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.5156412924843607,Shanghai,5,31.76667423467658,121.40955643696364,38.11024544,-6.451611617549965,10.831917,0.0,0.06818196,0.07612740721378941,0.08264612972561736,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.41128336461926146,Shanghai,5,31.771165811097177,121.26582599150451,36.38414534000003,-8.177711717549933,2.3120534,0.0,0.06818524,0.08211319707334042,0.056730893024775596,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.377683084158759,Shanghai,5,31.771165811097177,121.2703175679251,37.19934311,-7.362513947549964,2.4189262,0.0,0.06818524,0.08050706595115896,0.06451784335409425,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.4906565485123013,Shanghai,6,31.771165811097177,121.27480914434571,38.81435756000002,-5.747499497549946,2.7621982,0.0,0.057968166,0.06641717931987452,0.05105264100711793,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.33955506821546483,Shanghai,5,31.771165811097177,121.40506486054304,38.903226080000024,-5.65863097754994,10.249372,0.0,0.06818524,0.08091352347229772,0.0580184592262787,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.33212652002625603,Shanghai,3,31.771165811097177,121.44998062474902,39.50137958000005,-5.060477477549917,1.88066,0.0,0.06818524,0.1799796513720032,0.04519509028314667,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.31629810250985124,Shanghai,5,31.775657387517775,121.24785968582212,36.54821030000002,-8.013646757549942,1.1681132,0.0,0.06818851,0.1441065960098058,0.0632012560342749,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.48242275198572315,Shanghai,5,31.775657387517775,121.30625017928989,37.51892798000006,-7.042929077549907,4.7009487,0.0,0.057968166,0.09196664871706162,0.04647565740742721,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.5226698511105496,Shanghai,4,31.775657387517775,121.43201431906662,38.74257914000003,-5.8192779175499325,0.94965386,0.0,0.057968166,0.07212015365075786,0.04455023625632748,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.3310913619430115,Shanghai,4,31.780148963938373,121.23887653298092,37.36169905999998,-7.2001579975499865,1.3616132,0.0,0.0,0.13239379067284365,0.05306168623889486,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.44260464093115715,Shanghai,5,31.780148963938373,121.25684283866332,36.196154240000055,-8.36570281754991,0.7669605,0.0,0.057968166,0.07730511437901962,0.04616635126460876,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.44589504788940154,Shanghai,5,31.780148963938373,121.26133441508391,36.471304850000024,-8.09055220754994,1.9031224,0.0,0.089500956,0.0854529150761664,0.05104547352530062,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.5765718745969934,Shanghai,6,31.780148963938373,121.26582599150451,37.05407726000004,-7.507779797549922,2.0933795,0.0,0.057968166,0.058788394497241825,0.05158688880328555,"{""type"":""MultiPoint"",""coordinates"":[]}"
