system:index,built,city,elev,lat,lon,lst,lst_anom,pop,road_dens,slope,tree,water,.geo
0,0.3704918348747823,Hangzhou,450,29.215458827777137,118.67867797324028,37.327518860000026,-6.229929124506981,0.60330945,0.0,4.9577885,0.1049149333137191,0.03624105008525981,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.3385827773849347,Hangzhou,340,29.2873240505067,118.72359373744627,39.88419782,-3.67325016450701,0.46431315,0.0,13.775953,0.14304883799715234,0.03925074585380831,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.33376513849585676,Hangzhou,350,29.2918156269273,118.72359373744627,38.441793380000036,-5.115654604506972,0.44822183,0.0,13.884372,0.14334158391620105,0.04397213292451432,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.4538690673361998,Hangzhou,210,29.368172426077457,118.70562743176387,39.47403542000001,-4.083412564507,2.2254243,0.0,2.0457537,0.08814359414100181,0.09552868810715154,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.3130099639238324,Hangzhou,196,29.368172426077457,118.79096738375523,36.53795624,-7.0194917445070075,0.6018426,0.0,6.1937194,0.20112258044537157,0.03775696532102302,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.40270814670657273,Hangzhou,219,29.38613873175985,118.86732418290539,38.85537380000005,-4.702074184506955,1.5380056,0.0,3.8603516,0.15286979930533562,0.031678206476499327,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.3408453524009221,Hangzhou,164,29.390630308180445,118.74605161954925,39.66202652000004,-3.895421464506967,3.2548208,0.0,3.9615228,0.13906745578990215,0.03998543886053893,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.3181030081052865,Hangzhou,228,29.390630308180445,118.76850950165225,36.04747037000004,-7.509977614506965,2.300162,0.0,15.909367,0.2285736521062929,0.03993944345884735,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.45302286181090906,Hangzhou,137,29.395121884601043,118.74605161954925,39.227937980000036,-4.329510004506972,5.9481936,0.0,2.5949066,0.14396774146536534,0.03865513823587786,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.30344431347806344,Hangzhou,125,29.39961346102164,118.76401792523164,39.598793150000006,-3.9586548345070014,2.8542368,0.0,7.817581,0.13983203687662768,0.07967898232693021,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.3541472915288371,Hangzhou,141,29.40410503744224,118.73257689028746,38.96304143000003,-4.594406554506975,9.2554865,0.0,3.9497254,0.17277151652767012,0.04362669169010284,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.4405486184961932,Hangzhou,117,29.40410503744224,118.73706846670805,41.22235265000003,-2.335095334506974,12.3899765,0.0,2.019478,0.06400327762062459,0.11797982040266304,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.5083244710306948,Hangzhou,115,29.40410503744224,118.74156004312866,40.419117950000015,-3.1383300345069927,10.043317,0.0,2.4341073,0.06695249951250541,0.04122880128367493,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.30106946258456446,Hangzhou,119,29.413088190283435,118.75054319596985,40.43791706000002,-3.1195309245069893,2.73477,0.0,3.1675231,0.1049829057980484,0.05410193494753912,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.4622723026201129,Hangzhou,130,29.413088190283435,118.81791684227882,37.9666886,-5.59075938450701,1.5633863,0.0,1.5676894,0.1407650095410645,0.04146558225154877,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.47408418063423596,Hangzhou,142,29.41757976670403,118.85384945364359,39.61417424000001,-3.943273744506996,1.7599274,0.0,1.5302294,0.09414325031684712,0.0374618794885464,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.331992656015791,Hangzhou,141,29.426562919545226,118.8313915715406,38.722071020000044,-4.835376964506963,0.787696,0.0,4.5508823,0.11875194986350834,0.15925766830332577,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.3094706375890508,Hangzhou,134,29.435546072386423,118.8448663008024,39.54581384000005,-4.0116341445069565,0.9092343,0.0,2.6217315,0.2070976474065462,0.06505462426114185,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.33022742526372895,Hangzhou,103,29.4759702601718,118.6562200911373,40.94891105000002,-2.6085369345069864,11.769941,0.0,1.5789989,0.06514760283607757,0.20023615950049134,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.5160438487364445,Hangzhou,118,29.4759702601718,118.6607116675579,44.04392816000001,0.48648017549299993,12.546011,0.0,1.6613094,0.10147894152032677,0.04464169750281144,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.41042390866342054,Hangzhou,119,29.4759702601718,118.6652032439785,41.93159179999998,-1.625856184507029,7.8577466,0.0,2.1016824,0.11290089757976067,0.07445969928384703,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.36345550551777706,Hangzhou,334,29.377155578918654,118.53494752778117,39.11856134000004,-4.438886644506965,1.3001332,0.0,0.1764693,0.17382269728113897,0.03592903140815906,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.3640360427255343,Hangzhou,166,29.38613873175985,118.49901491641639,41.19500849000002,-2.3624394945069866,2.3130913,0.0,6.2644477,0.18865810175027167,0.03252280215799276,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.395201660829651,Hangzhou,202,29.395121884601043,118.45859072863101,42.79976887999999,-0.7576791045070195,6.7236204,0.0,8.715439,0.1421186006627977,0.04229466704761281,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.4590496309836836,Hangzhou,142,29.413088190283435,118.4855401871546,40.67034242,-2.88710556450701,2.2210824,0.0,4.5740933,0.07943823747336864,0.04100269988473309,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.41740528823408696,Hangzhou,144,29.41757976670403,118.4945233399958,41.776071890000026,-1.7813760945069816,1.8144821,0.0,2.6278598,0.09338936635426112,0.04881469604914032,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.3073189196134494,Hangzhou,126,29.41757976670403,118.50350649283698,42.013624280000045,-1.5438237045069627,2.0456996,0.0,1.9880145,0.11126545153092593,0.041915319743566215,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.3026375805590457,Hangzhou,114,29.41757976670403,118.59782959766953,40.03629971000004,-3.52114827450697,3.2648525,0.0,1.588177,0.23145109944744036,0.03472202691288354,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.4134605624308081,Hangzhou,128,29.422071343124628,118.50799806925758,43.51755308000003,-0.039894904506979856,2.2835376,0.0,0.69939667,0.10425433935597539,0.03663240645445236,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.4814036042828645,Hangzhou,120,29.422071343124628,118.53045595136057,48.13188008000003,4.574432095493023,18.631462,0.0,2.5489173,0.051938249629789164,0.046629656959945955,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.4511330451932736,Hangzhou,132,29.422071343124628,118.53494752778117,44.54637710000003,0.988929115493022,20.924622,0.0,3.0011864,0.04470903619658202,0.1398587047937326,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.3379460247339342,Hangzhou,128,29.422071343124628,118.53943910420176,42.32979113000002,-1.2276568545069892,8.182382,0.0,2.7517297,0.09071137764575807,0.048154524474574086,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.6682229854729181,Hangzhou,117,29.426562919545226,118.53494752778117,49.044491420000014,5.487043435493007,22.289085,0.0,0.8670673,0.04232374418643303,0.04976154704733441,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.44345224440061987,Hangzhou,133,29.426562919545226,118.54842225704296,45.450443390000004,1.8929954054929965,26.842152,0.0,3.5340748,0.14071530416213834,0.042756070042602144,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.31892563023471404,Hangzhou,118,29.426562919545226,118.55291383346355,42.23237756000003,-1.3250704245069755,13.560742,0.0,2.1144962,0.16713139468005725,0.03717167133332363,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.31531696347519755,Hangzhou,124,29.426562919545226,118.55740540988415,42.276811820000034,-1.2806361645069728,11.442204,0.0,4.888849,0.1443190933288341,0.049272026326174716,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.44029974610580563,Hangzhou,123,29.426562919545226,118.56638856272535,42.124709929999995,-1.4327380545070127,10.749632,0.0,2.9059253,0.10757921092534581,0.03573904851845537,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.3291735436831569,Hangzhou,203,29.431054495965824,118.48104861073399,40.285815170000035,-3.2716328145069724,1.9533277,0.0,10.315934,0.16245183061230287,0.036004284918629406,"{""type"":""MultiPoint"",""coordinates"":[]}"
